block_id	hash	time	size	weight	version	lock_time	is_coinbase	has_witness	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total
169	d7b9a9da6becbf47494c27e913241e5a2b85c5cceba4b2f0d8305e0a87b92d98	2009-01-12 03:22:03	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
170	b1fea52486ce0c62bb442b530a3f0132b826c74e473d1f2c220bfa78111c5082	2009-01-12 03:30:25	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
170	f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16	2009-01-12 03:30:25	275	1100	1	0	0	0	1	2	5000000000	0.5	5000000000	0.5	0	0	0	0	0	0	149.15856481481
171	d5f2d21453a6f0e67b5c42959c9700853e4c4d46fa7519d1cc58e77369c893f2	2009-01-12 03:36:41	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
172	389cf9b9fc51d668dafb9dc6b9a24b8fddec5f035235a58d4a62919b39b078d5	2009-01-12 03:44:13	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
173	60967e291dd8f3e3e817d6aa6e2e86d754e0b99f037f6b3f7079367ee7a30952	2009-01-12 03:50:45	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
174	ccb97113d5c2156d938edfaff425e301d1b862c9986714d443ab43070f119581	2009-01-12 04:01:01	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
175	48fb3d15e828a31aab6ae17b6f5b14333d0701a9358f9d2ea57655c32cb53b90	2009-01-12 04:17:56	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
176	64c195ad911554d3cbfbed05f78b5aa9379a0f98600305b03469cbb70ce13d5c	2009-01-12 04:39:02	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
177	07b4b23fca39e9b263fd214d9274335231c3b025aa3d817860fc214a84365e88	2009-01-12 05:02:37	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
178	672778aca436894888bb63d7a37d2f67c5942caca93942ee2e98143c08f1f46b	2009-01-12 05:12:11	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
179	c77891a80c3929fd2db7b5120749dbd35ebdbb10ab92489f98c23953afcfc36b	2009-01-12 05:26:45	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
180	bd8cfe1837c88caa4ca37df77380d5b0af9692ed92ddbc247cd2aef388691d4f	2009-01-12 05:50:52	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
181	8347cee4a1cb5ad1bb0d92e86e6612dbf6cfc7649c9964f210d4069b426e720a	2009-01-12 06:02:13	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
181	a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be	2009-01-12 06:02:13	275	1100	1	0	0	0	1	2	4000000000	0.4	4000000000	0.4	0	0	0	0	0	0	0
182	09e5c4a5a089928bbe368cd0f2b09abafb3ebf328cd0d262d06ec35bdda1077f	2009-01-12 06:12:16	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
182	591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073	2009-01-12 06:12:16	275	1100	1	0	0	0	1	2	3000000000	0.3	3000000000	0.3	0	0	0	0	0	0	0
183	b2e561eb278f5aba7a2c78d46422f496f4998003635cc65807e230407190a355	2009-01-12 06:34:22	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
183	12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba	2009-01-12 06:34:22	276	1104	1	0	0	0	1	2	2900000000	0.29	2900000000	0.29	0	0	0	0	0	0	0
184	7261a156ddd561c8144eed6956ada63bf53fa015ef84f8f2b06d9928caf320bf	2009-01-12 06:49:09	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
185	31df41cb92e000cfa5f0403bdbe41e5a693b01821b0ee9b9583afeffaf47dcee	2009-01-12 06:59:38	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
186	21cb91349d6403cd296d60f94a52a2da4cc47c70fd7fb7f2ee33bd580c7b7c2f	2009-01-12 07:01:09	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
187	70587f1780ccd2ebbace28a7b33d83d19f4362f10ff7a4ad88f8c413883f94b7	2009-01-12 07:16:40	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
187	4385fcf8b14497d0659adccfe06ae7e38e0b5dc95ff8a13d7c62035994a0cd79	2009-01-12 07:16:40	199	796	1	0	0	0	1	1	100000000	0.01	100000000	0.01	0	0	0	0	0	0	0
188	3a6d490a7cf40819cdd826729d921ad5ab4b8347dfbec81179dd09aba0d25b37	2009-01-12 07:22:17	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
189	5f6c6965593c19c55ea077d820dc1b49172e92e7179ac02491396c96292b6f5e	2009-01-12 07:26:29	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
190	03754cb5d97171f404f7e298cd9a01933ec6581483757d79bebd4c226d962f35	2009-01-12 07:31:41	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
